total_return_pct,buy_hold_return_pct,alpha_pct,ann_return_pct,ann_volatility_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,total_costs_usd,total_fees_usd,total_slippage_usd,final_equity,symbol,timeframe,strategy,strategy_key,split_date,leverage
-73.80561397848754,-55.04201680672273,-18.763597171764822,-94.97427424701279,223.4381437802903,-0.4250584642360897,-0.7040743091547562,-1.0695628984692882,-88.79727819928667,39,17.94871794871795,37.4949202773697,-6.9680184530905525,1.177094157527202,1.0125090113510327,10.8,1.6,2.0,130.9719301075623,POL/USDT,4h,Mean-Reversion (RSI + BB),mean_reversion,2025-11-01,3
-81.28733482357873,-55.04201680672273,-26.245318016856,-97.62805811867297,149.28277971293124,-0.6539807090034792,-0.617131147581251,-1.1518945714134707,-84.7543347642269,61,32.78688524590164,10.375415235456247,-7.637121387960281,0.6627075708939245,-1.7313716753646982,97.20000000000002,14.4,18.0,93.5633258821064,POL/USDT,4h,Volatility Breakout (ATR + Vol),volatility_breakout,2025-11-01,3
-25.68767754529069,-55.04201680672273,29.354339261432038,-48.45884385332291,40.76925837980298,-1.1886123461428806,-0.34878184937471607,-1.5397413835302034,-31.47206691439319,9,33.33333333333333,3.2903933561639414,-4.914837151862434,0.3347408321471115,-2.1797603158536427,18.900000000000002,2.8,3.5,371.5616122735466,POL/USDT,4h,Trend-Following (EMA + ADX),trend_following,2025-11-01,3
22.32316233979612,-55.04201680672273,77.36517914651884,56.803522137927764,137.93984436837076,0.41179923319496414,0.4644228799816764,0.9415702707786442,-60.32850006081153,37,51.35135135135135,14.300645218670411,-8.566075833242621,1.7621984444751762,3.1762944366586643,43.2,6.4,8.0,611.6158116989806,POL/USDT,4h,Momentum Reversal (ROC + S/R),momentum_reversal,2025-11-01,3
-43.722008902642806,-55.04201680672273,11.32000790407992,-72.28901966095167,137.62735350862712,-0.5252518327064993,-0.5642917408116718,-0.9141205525475607,-79.08040078465531,49,44.89795918367347,11.190177223455294,-7.638037673583158,1.1937519257871483,0.815446565903494,64.80000000000001,9.600000000000001,12.0,281.389955486786,POL/USDT,4h,Composite Signal,composite,2025-11-01,3
0.8542407794050799,-55.04201680672273,55.89625758612781,1.9170656982136824,72.9825935032156,0.026267437291457956,0.018033846819339276,0.04448241663095808,-43.09715711082741,17,41.17647058823529,15.627183718051349,-8.4273064776894,1.2980456604486998,1.4774836029097316,24.3,3.6,4.5,504.2712038970254,POL/USDT,4h,Momentum Reversal + MTF Filter,momentum_reversal_mtf,2025-11-01,3
-82.13368767973614,-55.04201680672273,-27.091670873013417,-97.86090109827258,146.35996176828652,-0.6686316388439862,-0.6101402659258477,-1.1453237157163025,-85.44387910196106,58,32.758620689655174,10.189712509041572,-7.839927296330496,0.6331970600014108,-1.9336659807775776,105.30000000000001,15.600000000000001,19.5,89.33156160131928,POL/USDT,4h,Volatility Breakout + MTF Filter,volatility_breakout_mtf,2025-11-01,3
-40.14827660584777,-55.04201680672273,14.89374020087496,-68.20620342309897,62.10479214862483,-1.098243807979788,-0.5843620292589573,-1.1197350862772186,-60.91280362560043,22,40.909090909090914,8.297076584515345,-8.061842495897062,0.7125083311971657,-1.3695574175465313,43.2,6.4,8.0,299.2586169707612,POL/USDT,4h,Composite Signal + MTF Filter,composite_mtf,2025-11-01,3
234.52295217716812,-67.05978873961662,301.58274091678476,680.5123369029562,275.3140917608234,2.471767182531816,4.039445566018727,9.868709440514673,-68.95656833397116,43,34.883720930232556,40.61980527974309,-7.396014930688974,2.942207415103722,9.353689793880351,27.000000000000004,4.0,5.0,1672.6147608858405,UNI/USDT,4h,Mean-Reversion (RSI + BB),mean_reversion,2025-09-11,3
-66.1017778830008,-67.05978873961662,0.9580108566158207,-84.13156289968241,181.00176295948128,-0.46481073733251954,-0.579016074130099,-0.9460208767552524,-88.93203624453238,75,33.33333333333333,14.713918363664211,-6.891908381232294,1.0674777978572982,0.3100338670665415,136.35000000000002,20.200000000000003,25.25,169.49111058499597,UNI/USDT,4h,Volatility Breakout (ATR + Vol),volatility_breakout,2025-09-11,3
